PRODUCT,AGRICULTURE,TRANSFORMATION,PACKAGING,TRANSPORT,SUPERMARKET AND DISTRIBUTION,CONSUMPTION,TOTAL IMPACT
"salami, pork and beef",5.1518328,0.64278064,0.098456598,0.20498679,0.037393191,0.006687562,6.142137581
"merguez sausage, pure beef, raw",29.803955,0.11797113,0.27761401,0.20976478,0.037393191,0.006687562,30.45338567
"merguez sausage, pork and beef, raw",23.726495,0.51515612,0.48156728,0.21333977,0.037393191,0.006687562,24.98063892
"merguez sausage, beef, mutton and pork, raw",31.371255,0.32208615,0.37872644,0.21170653,0.037393191,0.006687562,32.32785487
"merguez sausage, beef and mutton, raw",38.887532,0.13226106,0.27761401,0.21010073,0.037393191,0.006687562,39.55158855
"sausage meat, pork and beef, raw",4.3644895,0.25179252,0.23089041,0.20129786,0.036974137,0.006687562,5.092131989
"burger, beef based, 15% fat, raw",15.896356,0.27679941,0.26924245,0.20839781,0.036974137,0.006687562,16.69445737
"beef, stewing meat, raw",27.221359,0.11569742,0.27564225,0.20348266,0.036974137,0.006687562,27.85984303
"kidney, beef, raw",21.517062,0.052216317,0.27564225,0.20049102,0.036974137,0.006687562,22.08907329
"tongue, beef, raw",21.517062,0.052216317,0.27564225,0.20049102,0.036974137,0.006687562,22.08907329
"heart, beef, raw",21.517062,0.052216317,0.27564225,0.20049102,0.036974137,0.006687562,22.08907329
"beef, topside, raw",27.221359,0.11569742,0.27564225,0.20348266,0.036974137,0.006687562,27.85984303
"beef, steak or beef steak, raw",27.221359,0.11569742,0.27564225,0.20348266,0.036974137,0.006687562,27.85984303
"beef, minced steak, 5% fat, raw",33.395913,0.25100959,0.26918334,0.20672094,0.036974137,0.006687562,34.16648857
"beef, minced steak, 20% fat, raw",33.395913,0.25100959,0.26918334,0.20672094,0.036974137,0.006687562,34.16648857
"beef, minced steak, 15% fat, raw",33.395913,0.25100959,0.26918334,0.20672094,0.036974137,0.006687562,34.16648857
"beef, minced steak, 10% fat, raw",33.395913,0.25100959,0.26918334,0.20672094,0.036974137,0.006687562,34.16648857
"beef, rump steak, raw",27.221359,0.11569742,0.27564225,0.20348266,0.036974137,0.006687562,27.85984303
"beef, flank steak, raw",27.221359,0.11569742,0.27564225,0.20348266,0.036974137,0.006687562,27.85984303
"beef, bolar-blade, raw",27.221359,0.11569742,0.29772333,0.20351988,0.036974137,0.008359452,27.88363322
"beef, rib, raw",27.221359,0.066059163,0.34455281,0.25078423,0.046217671,0.08872985,28.01770272
"beef, rib steak, raw",27.221359,0.066059163,0.34455281,0.25078423,0.046217671,0.08872985,28.01770272
"beef, shoulder, raw",27.221359,0.11569742,0.27564225,0.20348266,0.036974137,0.006687562,27.85984303
"beef, sirloin steak, raw",27.221359,0.11569742,0.27564225,0.20348266,0.036974137,0.006687562,27.85984303
"blood, beef, raw",26.896328,0.065270396,0.2306872,0.25061377,0.046217671,0.08872985,27.57784689
"beef, sirloin steak, red label, raw",27.221359,0.11569742,0.27564225,0.20348266,0.036974137,0.006687562,27.85984303
"beef, thin flank, raw",27.221359,0.11569742,0.27564225,0.20348266,0.036974137,0.006687562,27.85984303
"beef, knuckle, raw",27.221359,0.066059163,0.34455281,0.25078423,0.046217671,0.08872985,28.01770272
"beef, cheek, raw",27.221359,0.11569742,0.27564225,0.20348266,0.036974137,0.006687562,27.85984303
"beef, hanger steak, raw",27.221359,0.11569742,0.27564225,0.20348266,0.036974137,0.006687562,27.85984303
"beef, chuck, raw",34.026699,0.14462178,0.34455281,0.25435333,0.046217671,0.08872985,34.90517444
"beef, short ribs, raw",27.221359,0.066059163,0.34455281,0.25078423,0.046217671,0.08872985,28.01770272
"beef, round, raw",27.221359,0.11569742,0.27564225,0.20348266,0.036974137,0.006687562,27.85984303
"tripe, beef, raw",26.896328,0.065270396,0.34455281,0.25061377,0.046217671,0.08872985,27.6917125
"lamb, neck, raw",40.546904,0.066555182,0.34455281,0.25398787,0.046217671,0.08872985,41.34694738
"lamb, chop fillet, raw",40.546904,0.066555182,0.34455281,0.25398787,0.046217671,0.08872985,41.34694738
