code,SOURCE,GROUP,PRODUCT,AGRICULTURE,TRANSFORMATION,PACKAGING,TRANSPORT,SUPERMARKET AND DISTRIBUTION,CONSUMPTION,TOTAL IMPACT,LEVEL
30352,beef,deli meats,"salami, pork and beef",5.1518328,0.64278064,0.098456598,0.20498679,0.037393191,0.006687562,6.142137581,1
30152,beef,deli meats,"merguez sausage, pure beef, raw",29.803955,0.11797113,0.27761401,0.20976478,0.037393191,0.006687562,30.45338567,3
30153,beef,deli meats,"merguez sausage, pork and beef, raw",23.726495,0.51515612,0.48156728,0.21333977,0.037393191,0.006687562,24.98063892,3
30154,beef,deli meats,"merguez sausage, beef, mutton and pork, raw",31.371255,0.32208615,0.37872644,0.21170653,0.037393191,0.006687562,32.32785487,4
30156,beef,deli meats,"merguez sausage, beef and mutton, raw",38.887532,0.13226106,0.27761401,0.21010073,0.037393191,0.006687562,39.55158855,4
30052,beef,deli meats,"sausage meat, pork and beef, raw",4.3644895,0.25179252,0.23089041,0.20129786,0.036974137,0.006687562,5.092131989,1
6260,beef,other meat products,"burger, beef based, 15% fat, raw",15.896356,0.27679941,0.26924245,0.20839781,0.036974137,0.006687562,16.69445737,2
6231,beef,raw meats,"beef, stewing meat, raw",27.221359,0.11569742,0.27564225,0.20348266,0.036974137,0.006687562,27.85984303,3
40402,beef,raw meats,"kidney, beef, raw",21.517062,0.052216317,0.27564225,0.20049102,0.036974137,0.006687562,22.08907329,3
40202,beef,raw meats,"tongue, beef, raw",21.517062,0.052216317,0.27564225,0.20049102,0.036974137,0.006687562,22.08907329,3
40052,beef,raw meats,"heart, beef, raw",21.517062,0.052216317,0.27564225,0.20049102,0.036974137,0.006687562,22.08907329,3
6160,beef,raw meats,"beef, topside, raw",27.221359,0.11569742,0.27564225,0.20348266,0.036974137,0.006687562,27.85984303,3
6201,beef,raw meats,"beef, steak or beef steak, raw",27.221359,0.11569742,0.27564225,0.20348266,0.036974137,0.006687562,27.85984303,3
6250,beef,raw meats,"beef, minced steak, 5% fat, raw",33.395913,0.25100959,0.26918334,0.20672094,0.036974137,0.006687562,34.16648857,4
6256,beef,raw meats,"beef, minced steak, 20% fat, raw",33.395913,0.25100959,0.26918334,0.20672094,0.036974137,0.006687562,34.16648857,4
6254,beef,raw meats,"beef, minced steak, 15% fat, raw",33.395913,0.25100959,0.26918334,0.20672094,0.036974137,0.006687562,34.16648857,4
6252,beef,raw meats,"beef, minced steak, 10% fat, raw",33.395913,0.25100959,0.26918334,0.20672094,0.036974137,0.006687562,34.16648857,4
6206,beef,raw meats,"beef, rump steak, raw",27.221359,0.11569742,0.27564225,0.20348266,0.036974137,0.006687562,27.85984303,3
6212,beef,raw meats,"beef, flank steak, raw",27.221359,0.11569742,0.27564225,0.20348266,0.036974137,0.006687562,27.85984303,3
6202,beef,raw meats,"beef, bolar-blade, raw",27.221359,0.11569742,0.29772333,0.20351988,0.036974137,0.008359452,27.88363322,3
6001,beef,raw meats,"beef, rib, raw",27.221359,0.066059163,0.34455281,0.25078423,0.046217671,0.08872985,28.01770272,3
6103,beef,raw meats,"beef, rib steak, raw",27.221359,0.066059163,0.34455281,0.25078423,0.046217671,0.08872985,28.01770272,3
6002,beef,raw meats,"beef, shoulder, raw",27.221359,0.11569742,0.27564225,0.20348266,0.036974137,0.006687562,27.85984303,3
6111,beef,raw meats,"beef, sirloin steak, raw",27.221359,0.11569742,0.27564225,0.20348266,0.036974137,0.006687562,27.85984303,3
40600,beef,raw meats,"blood, beef, raw",26.896328,0.065270396,0.2306872,0.25061377,0.046217671,0.08872985,27.57784689,3
6112,beef,raw meats,"beef, sirloin steak, red label, raw",27.221359,0.11569742,0.27564225,0.20348266,0.036974137,0.006687562,27.85984303,3
6130,beef,raw meats,"beef, thin flank, raw",27.221359,0.11569742,0.27564225,0.20348266,0.036974137,0.006687562,27.85984303,3
