,Continent,Year,animal_protein,plant_based_protein
60,Africa,1961,10.463917,42.929005
61,Africa,1962,10.316669,43.493923
62,Africa,1963,10.298545,43.518158
63,Africa,1964,10.45519,43.920544
64,Africa,1965,10.672791,43.65033
65,Africa,1966,10.847433,42.97497
66,Africa,1967,10.906034,43.26347
67,Africa,1968,10.966735,43.38455
68,Africa,1969,11.080947,44.208992
69,Africa,1970,11.232616,44.287415
70,Africa,1971,11.329996,43.781292
71,Africa,1972,11.275799,42.862206
72,Africa,1973,11.131838,43.062645
73,Africa,1974,11.14974,44.22915
74,Africa,1975,11.350298,44.189575
75,Africa,1976,11.590024,43.70847
76,Africa,1977,11.964303,43.34046
77,Africa,1978,12.3245735,43.373356
78,Africa,1979,12.202192,44.151894
79,Africa,1980,12.422131,44.857437
80,Africa,1981,12.730279,44.322227
81,Africa,1982,12.820538,44.454185
82,Africa,1983,12.658401,44.061928
83,Africa,1984,12.394521,43.780308
84,Africa,1985,12.359692,44.715706
85,Africa,1986,12.247942,45.32198
86,Africa,1987,12.435108,45.43
87,Africa,1988,12.359342,45.818233
88,Africa,1989,12.253714,45.867435
89,Africa,1990,12.527446,45.88471
90,Africa,1991,12.049448,46.256466
91,Africa,1992,12.133125,45.919975
92,Africa,1993,11.792487,45.92795
93,Africa,1994,11.556572,46.772575
94,Africa,1995,11.807214,47.195683
95,Africa,1996,11.50826,47.987514
96,Africa,1997,11.90608,47.768158
97,Africa,1998,11.932545,48.58247
98,Africa,1999,12.196683,48.592213
99,Africa,2000,12.296782,48.614517
100,Africa,2001,12.287301,48.911373
101,Africa,2002,12.677227,49.090965
102,Africa,2003,12.978761,49.3067
103,Africa,2004,13.273542,49.396996
104,Africa,2005,13.512172,50.360233
105,Africa,2006,13.932758,50.629887
106,Africa,2007,14.472853,50.50909
107,Africa,2008,14.398945,50.94351
108,Africa,2009,14.258463,51.758167
109,Africa,2010,14.409676,51.65134
110,Africa,2011,14.499103,51.63485
111,Africa,2012,14.877635,51.926907
112,Africa,2013,14.848347,51.76093
113,Africa,2014,15.15305,51.02888
114,Africa,2015,14.910947,50.92365
115,Africa,2016,14.50783,50.972614
116,Africa,2017,14.454108,51.19037
117,Africa,2018,14.500182,51.141018
118,Africa,2019,14.428124,50.630764
119,Africa,2020,13.972748,50.77781
569,Asia,1961,7.3110495,40.21062
570,Asia,1962,7.655345,41.393597
571,Asia,1963,8.005968,40.89488
572,Asia,1964,8.130588,41.375343
573,Asia,1965,8.453005,41.37901
574,Asia,1966,8.621746,41.516933
575,Asia,1967,8.723235,41.345547
576,Asia,1968,8.908627,41.15957
577,Asia,1969,8.881796,40.89801
578,Asia,1970,8.7736635,42.446514
579,Asia,1971,9.123608,41.505447
580,Asia,1972,9.299314,41.321617
581,Asia,1973,9.398251,42.588127
582,Asia,1974,9.581996,41.48271
583,Asia,1975,9.5810585,42.393936
584,Asia,1976,9.737985,41.55065
585,Asia,1977,9.907784,42.514412
586,Asia,1978,10.18411,44.418587
587,Asia,1979,10.506529,43.892277
588,Asia,1980,10.689603,43.842762
589,Asia,1981,10.957836,44.779865
590,Asia,1982,11.293972,45.376904
591,Asia,1983,11.642854,47.414864
592,Asia,1984,12.174876,47.16766
593,Asia,1985,12.674314,46.493443
594,Asia,1986,13.000156,46.894096
595,Asia,1987,13.365923,47.02796
596,Asia,1988,13.827064,47.421886
597,Asia,1989,14.132861,47.795277
598,Asia,1990,14.41603,46.808918
599,Asia,1991,14.818906,46.37958
600,Asia,1992,15.716283,47.0499
601,Asia,1993,16.423742,47.589394
602,Asia,1994,17.419857,48.111423
