code,product,food subgroup,lci name,preparation,agriculture,transformation,packaging,transport,supermarket_distribution,consumption,total
30352,beef,deli meats,"salami, pork and beef",no preparation,5.1518328,0.64278064,0.098456598,0.20498679,0.037393191,0.0066875618,6.1421375808
30152,beef,deli meats,"merguez sausage, pure beef, raw",no preparation,29.803955,0.11797113,0.27761401,0.20976478,0.037393191,0.0066875618,30.4533856728
30153,beef,deli meats,"merguez sausage, pork and beef, raw",no preparation,23.726495,0.51515612,0.48156728,0.21333977,0.037393191,0.0066875618,24.9806389228
30154,beef,deli meats,"merguez sausage, beef, mutton and pork, raw",no preparation,31.371255,0.32208615,0.37872644,0.21170653,0.037393191,0.0066875618,32.3278548728
30156,beef,deli meats,"merguez sausage, beef and mutton, raw",no preparation,38.887532,0.13226106,0.27761401,0.21010073,0.037393191,0.0066875618,39.5515885528
30052,beef,deli meats,"sausage meat, pork and beef, raw",no preparation,4.3644895,0.25179252,0.23089041,0.20129786,0.036974137,0.0066875618,5.0921319888
6260,beef,other meat products,"burger, beef based, 15% fat, raw",no preparation,15.896356,0.27679941,0.26924245,0.20839781,0.036974137,0.0066875618,16.694457368800002
6231,beef,raw meats,"beef, stewing meat, raw",no preparation,27.221359,0.11569742,0.27564225,0.20348266,0.036974137,0.0066875618,27.8598430288
40402,beef,raw meats,"kidney, beef, raw",no preparation,21.517062,0.052216317,0.27564225,0.20049102,0.036974137,0.0066875618,22.0890732858
40202,beef,raw meats,"tongue, beef, raw",no preparation,21.517062,0.052216317,0.27564225,0.20049102,0.036974137,0.0066875618,22.0890732858
40052,beef,raw meats,"heart, beef, raw",no preparation,21.517062,0.052216317,0.27564225,0.20049102,0.036974137,0.0066875618,22.0890732858
6160,beef,raw meats,"beef, topside, raw",no preparation,27.221359,0.11569742,0.27564225,0.20348266,0.036974137,0.0066875618,27.8598430288
6201,beef,raw meats,"beef, steak or beef steak, raw",no preparation,27.221359,0.11569742,0.27564225,0.20348266,0.036974137,0.0066875618,27.8598430288
6250,beef,raw meats,"beef, minced steak, 5% fat, raw",no preparation,33.395913,0.25100959,0.26918334,0.20672094,0.036974137,0.0066875618,34.1664885688
6256,beef,raw meats,"beef, minced steak, 20% fat, raw",no preparation,33.395913,0.25100959,0.26918334,0.20672094,0.036974137,0.0066875618,34.1664885688
6254,beef,raw meats,"beef, minced steak, 15% fat, raw",no preparation,33.395913,0.25100959,0.26918334,0.20672094,0.036974137,0.0066875618,34.1664885688
6252,beef,raw meats,"beef, minced steak, 10% fat, raw",no preparation,33.395913,0.25100959,0.26918334,0.20672094,0.036974137,0.0066875618,34.1664885688
6206,beef,raw meats,"beef, rump steak, raw",no preparation,27.221359,0.11569742,0.27564225,0.20348266,0.036974137,0.0066875618,27.8598430288
6212,beef,raw meats,"beef, flank steak, raw",no preparation,27.221359,0.11569742,0.27564225,0.20348266,0.036974137,0.0066875618,27.8598430288
6202,beef,raw meats,"beef, bolar-blade, raw",no preparation,27.221359,0.11569742,0.29772333,0.20351988,0.036974137,0.0083594523,27.883633219300002
6001,beef,raw meats,"beef, rib, raw",no preparation,27.221359,0.066059163,0.34455281,0.25078423,0.046217671,0.08872985,28.017702724
6103,beef,raw meats,"beef, rib steak, raw",no preparation,27.221359,0.066059163,0.34455281,0.25078423,0.046217671,0.08872985,28.017702724
6002,beef,raw meats,"beef, shoulder, raw",no preparation,27.221359,0.11569742,0.27564225,0.20348266,0.036974137,0.0066875618,27.8598430288
